cluster,n_molecules,MolWt,LogP,TPSA,Rings
164,1626,297.7101260762608,4.916672293972942,25.89755842558425,3.613161131611316
729,1624,302.3042179802956,4.739148128078821,22.68808497536946,3.603448275862069
439,1623,273.2882649414664,3.6096143191620476,29.30847196549599,2.1614294516327788
186,1623,359.02083795440547,4.838034966112142,41.42817005545287,2.2520024645717807
359,1618,315.0267021013598,3.4637108899876403,62.426872682323854,3.103831891223733
494,1618,427.9795550061807,3.111629363411621,77.9400803461063,4.920271940667491
1123,1617,405.2878317872606,2.7366312554112566,99.04100185528758,4.769944341372913
242,1615,442.0386916408671,5.981851281733753,56.80479256965944,5.030959752321982
287,1614,391.7795762081785,3.983488054522928,61.819120198265175,2.2676579925650557
898,1612,539.0491116625312,1.3650976985111682,115.59058312655088,6.739454094292804
1319,1611,734.0722427063938,2.281648485412789,219.32486033519552,6.697703289882061
179,1597,365.0480557294929,4.276445084533503,48.4208515967439,2.6900438321853475
126,1596,529.5922775689224,1.405626165413536,155.1304949874687,3.5983709273182956
665,1596,249.30094548872182,3.802275225563912,28.007625313283206,2.450501253132832
311,1596,258.77383646616545,4.108705225563912,21.109956140350874,1.9066416040100251
376,1593,559.222133082235,-1.3052363088512204,200.90926553672315,4.404896421845574
194,1590,427.20637861635237,4.8938958364779905,53.52587421383649,4.376729559748427
256,1588,386.66084445843836,5.234298507556679,39.24399874055416,3.7468513853904284
480,1582,354.2423900126423,5.656872307206071,38.101460176991154,4.06826801517067
477,1579,254.25216276124127,2.821957891070299,36.198701709943,2.771374287523749
1006,1578,315.3164746514576,3.4970445944233224,44.269277566539934,3.2953105196451205
177,1577,354.6517381103362,3.871972885225113,51.93824350031706,3.3214965123652505
395,1576,254.4140399746193,1.7249726459390868,59.300850253807106,1.984771573604061
444,1558,311.9046283697048,3.660549614890888,48.97044287548138,3.5872913992297817
289,1555,262.17662636655945,3.1946217813504836,43.38419292604502,1.7897106109324759
197,1554,326.88703796653806,3.8927717310167336,59.94438223938224,3.1325611325611327
507,1553,316.79166902768844,2.7748714423696086,36.21460399227302,2.9916291049581454
434,1546,471.00302716688253,2.10042998706339,115.2342238033635,5.38098318240621
584,1540,433.1170227272729,3.2570483506493533,94.41034415584416,4.156493506493507
424,1538,291.2727074122237,4.315131287386218,32.21629388816645,3.2334200260078023
408,1536,508.3239733072919,2.4144937565104176,124.79664062500001,6.169270833333333
541,1535,341.03064625407177,4.892613257328993,48.899348534201955,3.8964169381107494
766,1531,359.2235545395167,1.9420446962769435,82.24246897452646,3.822991508817766
193,1531,357.8909327237101,3.0397457870672784,62.8059634225996,2.6002612671456564
472,1528,271.3387244764398,3.105340307591625,56.25092931937173,2.119109947643979
